o_x,o_y,d_x,d_y,o_node,d_node
-87.6384040116,41.9015669095,-87.6262149064,41.8925077809,4499068774.0,258023463.0
-87.6424975271,41.7771962546,-87.6563059862,41.7442051463,261214537.0,261151261.0
-87.7209182385,41.9000696026,-87.7058971305,41.8789144956,261202207.0,261132070.0
-87.5961833442,41.8089162826,-87.592310855,41.794090253,1588205336.0,261358990.0
-87.6453787624,41.962178629,-87.6262149064,41.8925077809,26794623.0,258023463.0
-87.6207628651,41.8983317935,-87.6698377982,41.8996701799,27440574.0,261336469.0
-87.6559118484,41.9217014922,-87.6357600901,41.9074919303,286369393.0,261166853.0
-87.6635175498,41.874005383,-87.6725026464,41.8299223039,736019814.0,261170322.0
-87.7058971305,41.8789144956,-87.7172201,41.8601900192,261132070.0,261174185.0
-87.6197106717,41.8950334495,-87.638333371,41.8311571825,262184019.0,5492761345.0
-87.6891259086,41.8919483818,-87.6836429218,41.9119723006,261132144.0,261291025.0
-87.6327464887,41.8809944707,-87.6262149064,41.8925077809,28289897.0,258023463.0
-87.6750951155,41.9160052737,-87.6941973701,41.9005603836,261115272.0,261119857.0
-87.6467820813,41.938232293,-87.6537935286,41.9854724225,259575869.0,2328729126.0
-87.7622859818,41.9605182177,-87.7335180512,41.8952576428,287487748.0,261163677.0
-87.6470785093,41.942577185,-87.6209929134,41.8849871918,261139211.0,623820257.0
-87.6378442095,41.8932163595,-87.6209929134,41.8849871918,709413342.0,623820257.0
-87.6203346241,41.8571838585,-87.592310855,41.794090253,288595701.0,261358990.0
-87.6233665115,41.7065878819,-87.6488950721,41.7174930361,261137021.0,261162196.0
-87.6378442095,41.8932163595,-87.642648998,41.8792550844,709413342.0,257381494.0
-87.6209929134,41.8849871918,-87.6572331997,41.8852813201,623820257.0,258956097.0
-87.6665962653,41.7759288274,-87.6563059862,41.7442051463,261151942.0,261151261.0
-87.6558787862,41.96581197,-87.6559981815,41.9442266014,257148945.0,261199726.0
-87.7633990316,41.9540276487,-87.7112105933,41.9386661962,261210232.0,313441004.0
-87.6339734222,41.8420761168,-87.5961833442,41.8089162826,261118924.0,1588205336.0
-87.6318639497,41.8920421365,-87.6327464887,41.8809944707,2291929239.0,28289897.0
-87.6701668569,42.0096228806,-87.6950125892,42.001571027,261289110.0,261224249.0
-87.6339734222,41.8420761168,-87.7696154528,41.7925923603,261118924.0,540571895.0
-87.6327464887,41.8809944707,-87.642648998,41.8792550844,28289897.0,257381494.0
-87.5982558383,41.7061257523,-87.5964755956,41.728182061,261357912.0,261192480.0
-87.6559981815,41.9442266014,-87.6558787862,41.96581197,261199726.0,257148945.0
-87.6178596758,41.8129489392,-87.6324245245,41.8090844303,261127048.0,9600678723.0
-87.6763559892,41.9012069941,-87.6333080367,41.899602111,261202157.0,261267239.0
-87.6665962653,41.7759288274,-87.7269298425,41.7697780588,261151942.0,538028307.0
-87.6159695226,41.7402057565,-87.6233665115,41.7065878819,261127123.0,261137021.0
-87.6510618838,41.9217781876,-87.6616429039,41.9490605256,370097483.0,261181590.0
-87.5799482481,41.7761636931,-87.6197106717,41.8950334495,261270976.0,262184019.0
-87.6327464887,41.8809944707,-87.6384040116,41.9015669095,28289897.0,4499068774.0
-87.6327464887,41.8809944707,-87.6467297286,41.9346591566,28289897.0,259576127.0
-87.7633990316,41.9540276487,-87.6559981815,41.9442266014,261210232.0,261199726.0
-87.6750856208,41.8704150003,-87.642648998,41.8792550844,1324353893.0,257381494.0
-87.6327464887,41.8809944707,-87.6173580061,41.859349715,28289897.0,11938585879.0
