o_x,o_y,d_x,d_y,o_node,d_node
-87.6487879519,41.8361501547,-87.6591665992,41.8090182499,261222943.0,386392006.0
-87.771166703,41.9788295262,-87.7112105933,41.9386661962,261115432.0,313441004.0
-87.6241352979,41.8492467545,-87.6327464887,41.8809944707,253960123.0,28289897.0
-87.6317173661,41.9146162864,-87.6327464887,41.8809944707,259745404.0,28289897.0
-87.6991553432,41.9227606205,-87.7112105933,41.9386661962,366227246.0,313441004.0
-87.6829962096,41.8441449609,-87.6327464887,41.8809944707,261287997.0,28289897.0
-87.6851318314,41.8786440899,-87.6197106717,41.8950334495,261252119.0,262184019.0
-87.6559981815,41.9442266014,-87.6635175498,41.874005383,261199726.0,736019814.0
-87.6300448953,41.7424875717,-87.6485823365,41.7396448282,261224834.0,261184826.0
-87.6988607973,41.8173662079,-87.6591665992,41.8090182499,418466972.0,386392006.0
-87.6536139825,41.8983058696,-87.6207628651,41.8983317935,739187858.0,27440574.0
-87.6499072264,41.9049353016,-87.6288741572,41.8920726347,734237297.0,258023465.0
-87.7478743394,41.8841446699,-87.770385079,41.898425258,261230310.0,261156151.0
-87.6197106717,41.8950334495,-87.6358909539,41.9292629902,262184019.0,26099542.0
-87.715732633,41.8566586145,-87.6188683546,41.8909220259,2399951306.0,269448563.0
-87.7560467111,41.8906088526,-87.7058971305,41.8789144956,261258147.0,261132070.0
-87.6424975271,41.7771962546,-87.6203346241,41.8571838585,261214537.0,288595701.0
-87.6381750671,41.7142521521,-87.6712503529,41.6846149678,261144567.0,261329458.0
-87.6750856208,41.8704150003,-87.6318639497,41.8920421365,1324353893.0,2291929239.0
-87.6378442095,41.8932163595,-87.6572331997,41.8852813201,709413342.0,258956097.0
-87.6384040116,41.9015669095,-87.6429586652,41.8679024175,4499068774.0,256612742.0
-87.6173580061,41.859349715,-87.6209929134,41.8849871918,11938585879.0,623820257.0
-87.642648998,41.8792550844,-87.6209929134,41.8849871918,257381494.0,623820257.0
-87.6494887289,41.9226862843,-87.6333080367,41.899602111,370097351.0,261267239.0
-87.6178596758,41.8129489392,-87.6251921424,41.8788655841,261127048.0,27440219.0
-87.6487879519,41.8361501547,-87.6725026464,41.8299223039,261222943.0,261170322.0
-87.6572331997,41.8852813201,-87.6327464887,41.8809944707,258956097.0,28289897.0
