o_x,o_y,d_x,d_y,o_node,d_node
-87.592310855,41.794090253,-87.6233665115,41.7065878819,261358990.0,261137021.0
-87.6424975271,41.7771962546,-87.5727819867,41.7615779081,261214537.0,261132617.0
-87.6499072264,41.9049353016,-87.6209929134,41.8849871918,734237297.0,623820257.0
-87.6572331997,41.8852813201,-87.6414597588,41.9217783562,258956097.0,262370227.0
-87.7478743394,41.8841446699,-87.7324696377,41.8624142737,261230310.0,261145337.0
-87.6042092221,41.813200941,-87.6205583422,41.7828634535,261162602.0,253960175.0
-87.642648998,41.8792550844,-87.6327464887,41.8809944707,257381494.0,28289897.0
-87.6515625922,41.9363101308,-87.6327464887,41.8809944707,4173985509.0,28289897.0
-87.6251921424,41.8788655841,-87.6333080367,41.899602111,27440219.0,261267239.0
-87.6558787862,41.96581197,-87.6701668569,42.0096228806,257148945.0,261289110.0
-87.6327464887,41.8809944707,-87.6318639497,41.8920421365,28289897.0,2291929239.0
-87.6298717446,41.7617023786,-87.6012851221,41.7904693995,261224822.0,261176761.0
-87.6327464887,41.8809944707,-87.6308650266,41.9058577688,28289897.0,366593183.0
-87.6378442095,41.8932163595,-87.6262105324,41.8991556134,709413342.0,261149262.0
-87.6384040116,41.9015669095,-87.6209929134,41.8849871918,4499068774.0,623820257.0
-87.6572331997,41.8852813201,-87.642648998,41.8792550844,258956097.0,257381494.0
-87.6327464887,41.8809944707,-87.6219716519,41.8774061234,28289897.0,33718417.0
-87.6428084655,41.8853000224,-87.6422063127,41.9305785697,258020602.0,261236606.0
-87.7302324284,41.8785943576,-87.7560467111,41.8906088526,261188743.0,261258147.0
-87.6327464887,41.8809944707,-87.6308650266,41.9058577688,28289897.0,366593183.0
-87.6429586652,41.8679024175,-87.6793974791,41.8922767078,256612742.0,261172232.0
-87.6251921424,41.8788655841,-87.6635175498,41.874005383,27440219.0,736019814.0
-87.6327464887,41.8809944707,-87.6188683546,41.8909220259,28289897.0,269448563.0
-87.6321092196,41.9002656868,-87.6640782395,41.9218774613,2291929252.0,250755914.0
-87.6462109769,41.9218549112,-87.6262149064,41.8925077809,262369215.0,258023463.0
