o_x,o_y,d_x,d_y,o_node,d_node
-87.6429586652,41.8679024175,-87.6350918563,41.8510178239,256612742.0,261118916.0
-87.6209929134,41.8849871918,-87.6385749205,41.9383912577,623820257.0,259384082.0
-87.6470785093,41.942577185,-87.6291051864,41.9002212967,261139211.0,250755811.0
-87.6262105324,41.8991556134,-87.6209929134,41.8849871918,261149262.0,623820257.0
-87.6209929134,41.8849871918,-87.6701891476,41.9124318691,623820257.0,261347755.0
-87.6709450752,41.9083786693,-87.6540070286,41.9147473049,261202244.0,265641952.0
-87.592310855,41.794090253,-87.5727819867,41.7615779081,261358990.0,261132617.0
-87.6346478774,41.9346504482,-87.6467297286,41.9346591566,259383177.0,259576127.0
-87.6161341112,41.7632467988,-87.5949254391,41.7788768603,261127106.0,261137159.0
-87.7112105933,41.9386661962,-87.7347397536,41.9243470769,313441004.0,440910596.0
-87.6209929134,41.8849871918,-87.6197106717,41.8950334495,623820257.0,262184019.0
-87.6494887289,41.9226862843,-87.6991553432,41.9227606205,370097351.0,366227246.0
-87.6559981815,41.9442266014,-87.6333080367,41.899602111,261199726.0,261267239.0
-87.6197106717,41.8950334495,-87.551994147,41.7559614313,262184019.0,261126834.0
